id,latitude,longitude
245663894,19.0462973,72.9089703
245663959,19.0466011,72.8628118
245663961,19.0466165,72.9141073
245663968,19.0472582,72.8514669
245664037,19.0475207,72.8607182
245664057,19.0481672,72.856338
245664187,19.049908,72.9005559
245664191,19.0499086,72.9003015
245664408,19.0496674,72.8383394
245664445,19.0497224,72.8366899
245664455,19.0505089,72.900306
245664463,19.0499505,72.8386819
245664465,19.0524285,72.9401071
245664547,19.0506848,72.837003
245664576,19.0507498,72.8406738
245664662,19.0521144,72.9005288
245664667,19.0509505,72.8382139
245664695,19.0523559,72.8446506
245664760,19.0530955,72.8471947
245664764,19.0527251,72.9008717
245664779,19.0529987,72.8804974
245664830,19.0537309,72.8467126
245664865,19.053492,72.8809354
245664866,19.0533102,72.8823963
245664869,19.0539471,72.8893813
245664905,19.0539841,72.8946942
245665035,19.0549822,72.8481579
245665060,19.0549396,72.9109894
245665147,19.0589758,72.8645378
245665197,19.0563775,72.8837233
245665218,19.0557497,72.8475994
245665275,19.0561448,72.8974389
245665303,19.056642,72.8952415
245665307,19.0564351,72.8978484
245665354,19.056904,72.8872739
245665637,19.0583939,72.8984173
245665650,19.0596178,72.8551186
245665679,19.0587817,72.8858965
245665748,19.0598344,72.8984956
245665833,19.0591149,72.9595767
245665854,19.0592395,72.8602038
245665873,19.0604095,72.8497336
245665874,19.0601063,72.8523967
245665925,19.0606265,72.8497439
245665939,19.0605401,72.8489709
245665948,19.0609222,72.8473023
245665949,19.0605766,72.8477273
245665964,19.0606482,72.8489898
245665982,19.0606543,72.8984205
245666002,19.0608965,72.8494502
245666077,19.0608356,72.8573719
245666141,19.0628669,72.8650215
245666158,19.0613784,72.8533734
245666164,19.06202,72.8834352
245666274,19.0607692,72.8643302
245666370,19.06298,72.8559622
245666371,19.0641719,72.8634676
245666386,19.0650153,72.8593728
245666426,19.0657295,72.8676733
245666448,19.0621479,72.8606545
245666475,19.0630091,72.9149519
245666615,19.0639302,72.8372025
245666778,19.0657738,72.8495016
245666830,19.0659783,72.8594995
245666850,19.0660169,72.8477138
245666882,19.0662824,72.857163
245666901,19.0669869,72.8511856
245666966,19.0671608,72.8653978
245667153,19.0677349,72.8372101
245667351,19.0707597,72.8724298
245667420,19.0694923,72.9869349
245667447,19.0745228,72.870865
245667457,19.07137,72.8373301
245667551,19.0705676,72.8223533
245667688,19.0747475,72.8605698
245667692,19.0735183,72.9028377
245667803,19.0741646,72.8530567
245667819,19.0741544,72.8487218
245667850,19.0750373,72.8394695
245667862,19.0751813,72.8421892
245667874,19.0753664,72.8341331
245668003,19.0758789,72.8773593
245668010,19.0763089,72.8282513
245668015,19.0778032,72.8625431
245668039,19.0778377,72.8622756
245668052,19.0759669,72.8800151
245668175,19.0783456,72.8377059
245668221,19.0785504,72.8343203
245668285,19.0789153,72.8292013
245668288,19.0791357,72.8756234
245668306,19.079094,72.8927677
245668344,19.079674,72.8430337
245668366,19.0816474,72.8703766
245668398,19.080472,72.8466836
245668399,19.0803082,72.8470698
245668405,19.0807283,72.8406056
245668408,19.0807789,72.8430525
245668466,19.0811417,72.8378659
245668480,19.0806588,72.8524866
245668490,19.0792963,72.9079577
245668515,19.0796532,72.8803239
245668543,19.0820038,72.8587128
245668594,19.0826369,72.8379238
245668623,19.0828143,72.8457834
245668721,19.0823771,72.9089474
245668759,19.0834387,72.9051075
245668764,19.0841253,72.8379677
245668776,19.0845189,72.8345287
245668828,19.0848472,72.8322352
245668927,19.0864801,72.8445695
245669231,19.0897215,72.8382367
245669274,19.0905165,72.8419974
245669276,19.0903258,72.8435558
245669284,19.0884706,72.8272539
245669298,19.0904204,72.8334235
245669481,19.0931238,72.8504931
245669557,19.09389,72.8441517
245669780,19.0940677,72.8833163
245670043,19.0962535,72.8837374
245670288,19.1029612,72.8707493
245670344,19.1001468,72.8839543
245670576,19.1030104,72.8885372
245670797,19.1047014,72.8589079
245670987,19.1070163,72.859285
245671026,19.1056706,72.8299464
245671140,19.1071132,72.8593723
245671328,19.1091378,72.8539346
245671354,19.1093164,72.876062
245671370,19.1093538,72.8530496
245671529,19.1095982,72.8878486
245671650,19.109024,72.9326168
245671660,19.1119119,72.9336348
245671694,19.1123024,72.8885317
245671926,19.1143847,72.8983229
245671969,19.1115899,72.8299606
245671994,19.1144214,72.9088283
245672077,19.1151107,72.9058744
245672136,19.1155479,72.9082457
245672164,19.1128444,72.82996
245672405,19.117665,72.9059241
245672447,19.1181781,72.9071367
245672511,19.1187919,72.9081233
245672659,19.1163671,72.8438487
245672800,19.1199626,72.8999642
